job_id|job_basename|job_directory|job_status|program
10004505|h2o2_b3lyp_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004506|h2o2_b3lyp_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004507|h2o2_b3lyp_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004508|h2o2_b3lyp_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004509|h2o2_m06-2x_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004510|h2o2_m06-2x_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004511|h2o2_m06-2x_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004512|h2o2_m06-2x_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004513|h2o2_m08-hx_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004514|h2o2_m08-hx_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004515|h2o2_m08-hx_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004516|h2o2_m08-hx_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004517|h2o2_pbepbe_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004518|h2o2_pbepbe_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004519|h2o2_pbepbe_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004520|h2o2_pbepbe_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004521|oh_radical_b3lyp_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004522|oh_radical_b3lyp_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004523|oh_radical_b3lyp_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004524|oh_radical_b3lyp_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004525|oh_radical_m06-2x_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004526|oh_radical_m06-2x_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004527|oh_radical_m06-2x_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004528|oh_radical_m06-2x_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004529|oh_radical_m08-hx_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004530|oh_radical_m08-hx_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004531|oh_radical_m08-hx_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004532|oh_radical_m08-hx_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004533|oh_radical_pbepbe_6-311+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004534|oh_radical_pbepbe_6-311++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004535|oh_radical_pbepbe_6-31+Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
10004536|oh_radical_pbepbe_6-31++Gdp|/gpfs/home/gdb20/code/input_macros/temp/|succeeded|Gaussian
